Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1470819600.0 1.0 50 80 119 NA NA NA NA 96 143 168 NA NA NA NA 2183 511 479 NA NA NA NA 2302 603 632 NA NA NA NA
1470819600.0 10.0 NA 70 177 0 NA NA NA NA 141 229 0 NA NA NA NA 2016 2494 659 NA NA NA NA 2130 2537 681 NA NA NA
1470819600.0 1000.0 NA 174 108 0 36 NA NA NA 239 153 0 66 NA NA NA 2442 543 586 113 NA NA NA 2665 880 624 175 NA NA
1470819600.0 1001.0 NA 173 162 0 0 0 0 NA 222 202 0 0 0 0 NA 2421 399 103 89 866 56 NA 2780 465 111 94 905 73
1470819600.0 1002.0 NA 180 54 NA NA NA NA NA 248 93 NA NA NA NA NA 2692 209 NA NA NA NA NA 2760 234 NA NA NA NA
1470819600.0 1003.0 NA 163 0 NA NA NA NA NA 222 0 NA NA NA NA NA 3686 631 NA NA NA NA NA 3867 716 NA NA NA NA
1470819600.0 101.0 83 NA NA NA NA NA NA 136 NA NA NA NA NA NA 1203 NA NA NA NA NA NA 1537 NA NA NA NA NA NA
1470819600.0 102.0 79 NA NA NA NA NA NA 136 NA NA NA NA NA NA 934 NA NA NA NA NA NA 1112 NA NA NA NA NA NA
1470819600.0 103.0 46 71 173 NA NA NA NA 91 143 227 NA NA NA NA 919 381 674 NA NA NA NA 944 488 941 NA NA NA NA
1470819600.0 105.0 52 72 23 NA NA NA NA 96 144 53 NA NA NA NA 2234 536 4 NA NA NA NA 2506 656 13 NA NA NA NA
1470819600.0 106.0 37 0 0 NA NA NA NA 76 0 0 NA NA NA NA 476 99 231 NA NA NA NA 507 129 279 NA NA NA NA
1470819600.0 107.0 51 73 173 NA NA NA NA 98 144 227 NA NA NA NA 4522 535 827 NA NA NA NA 5043 596 887 NA NA NA NA
1470819600.0 108.0 52 74 171 NA NA NA NA 100 144 228 NA NA NA NA 4919 417 724 NA NA NA NA 5188 466 780 NA NA NA NA
1470819600.0 109.0 54 75 172 NA NA NA NA 100 144 228 NA NA NA NA 6173 419 805 NA NA NA NA 6430 451 952 NA NA NA NA
1470819600.0 11.0 NA 69 179 0 40 NA NA NA 139 237 0 76 NA NA NA 1715 1161 865 64 NA NA NA 1802 2917 910 136 NA NA
1470819600.0 110.0 44 71 168 NA NA NA NA 84 143 227 NA NA NA NA 821 440 644 NA NA NA NA 887 469 789 NA NA NA NA
1470819600.0 1102.0 NA 66 171 101 58 NA NA NA 140 231 154 100 NA NA NA 1969 3057 1534 142 NA NA NA 2057 3120 1563 156 NA NA
1470819600.0 111.0 51 73 171 NA NA NA NA 97 144 225 NA NA NA NA 2469 369 687 NA NA NA NA 2581 392 745 NA NA NA NA
1470819600.0 112.0 52 73 169 NA NA NA NA 98 144 227 NA NA NA NA 3697 445 668 NA NA NA NA 3909 519 801 NA NA NA NA
1470819600.0 113.0 56 84 170 NA NA NA NA 98 144 227 NA NA NA NA 3567 433 712 NA NA NA NA 4188 509 995 NA NA NA NA
1470819600.0 114.0 55 76 169 NA NA NA NA 98 144 227 NA NA NA NA 3484 427 699 NA NA NA NA 3962 481 1041 NA NA NA NA
1470819600.0 115.0 53 73 168 NA NA NA NA 99 144 226 NA NA NA NA 3940 400 630 NA NA NA NA 4083 423 666 NA NA NA NA
1470819600.0 116.0 53 73 170 NA NA NA NA 99 144 227 NA NA NA NA 4484 440 716 NA NA NA NA 4696 508 1022 NA NA NA NA
1470819600.0 117.0 56 74 171 NA NA NA NA 99 144 228 NA NA NA NA 6025 466 778 NA NA NA NA 6556 531 1029 NA NA NA NA
1470819600.0 118.0 54 80 170 NA NA NA NA 99 144 227 NA NA NA NA 4257 491 691 NA NA NA NA 4554 537 739 NA NA NA NA
1470819600.0 119.0 51 81 172 NA NA NA NA 97 144 227 NA NA NA NA 4081 475 676 NA NA NA NA 7592 889 1069 NA NA NA NA
1470819600.0 12.0 NA 67 171 0 NA NA NA NA 139 228 0 NA NA NA NA 1532 2109 607 NA NA NA NA 1646 2165 631 NA NA NA
1470819600.0 120.0 44 69 174 NA NA NA NA 88 143 227 NA NA NA NA 637 462 658 NA NA NA NA 728 583 879 NA NA NA NA
1470819600.0 121.0 54 80 175 NA NA NA NA 100 144 227 NA NA NA NA 5271 429 582 NA NA NA NA 5413 460 620 NA NA NA NA
1470819600.0 122.0 50 73 171 NA NA NA NA 96 144 227 NA NA NA NA 1543 361 619 NA NA NA NA 1630 387 658 NA NA NA NA
1470819600.0 123.1 157 NA NA NA NA NA NA 213 NA NA NA NA NA NA 668 NA NA NA NA NA NA 895 NA NA NA NA NA NA
