Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1471078800.0 1.0 50 64 125 NA NA NA NA NA 93 135 171 NA NA NA NA NA 1467 274 348 NA NA NA NA NA 4203 456 588 NA NA NA NA NA
1471078800.0 10.0 NA 83 194 0 NA NA NA NA NA 153 257 0 NA NA NA NA NA 2595 2011 670 NA NA NA NA NA 2679 2034 676 NA NA NA NA
1471078800.0 1000.0 NA 208 133 0 47 NA NA NA NA 274 182 0 79 NA NA NA NA 2898 580 827 162 NA NA NA NA 2979 625 848 191 NA NA NA
1471078800.0 1001.0 NA 186 167 0 0 0 0 0 NA 246 217 0 0 0 0 0 NA 2532 635 10 108 598 28 581 NA 2593 663 25 114 607 42 588
1471078800.0 1002.0 NA 207 58 NA NA NA NA NA NA 274 98 NA NA NA NA NA NA 1665 124 NA NA NA NA NA NA 2811 475 NA NA NA NA NA
1471078800.0 10021.0 NA 102 217 0 NA NA NA NA NA 175 300 0 NA NA NA NA NA 370 837 366 NA NA NA NA NA 465 905 397 NA NA NA NA
1471078800.0 10023.0 NA 100 214 0 NA NA NA NA NA 176 301 0 NA NA NA NA NA 354 666 343 NA NA NA NA NA 426 992 408 NA NA NA NA
1471078800.0 10024.0 NA 103 224 0 NA NA NA NA NA 177 302 0 NA NA NA NA NA 540 1150 523 NA NA NA NA NA 693 1240 539 NA NA NA NA
1471078800.0 10024.1 NA 104 140 0 NA NA NA NA NA 177 188 0 NA NA NA NA NA 578 615 381 NA NA NA NA NA 670 683 392 NA NA NA NA
1471078800.0 10024.2 NA 102 223 0 NA NA NA NA NA 176 300 0 NA NA NA NA NA 405 810 363 NA NA NA NA NA 602 2682 488 NA NA NA NA
1471078800.0 10024.3 NA 104 137 0 NA NA NA NA NA 176 183 0 NA NA NA NA NA 410 397 220 NA NA NA NA NA 990 730 245 NA NA NA NA
1471078800.0 10024.4 NA 102 216 0 NA NA NA NA NA 176 299 0 NA NA NA NA NA 414 813 374 NA NA NA NA NA 518 960 621 NA NA NA NA
1471078800.0 10024.5 NA 103 133 0 NA NA NA NA NA 177 185 0 NA NA NA NA NA 610 605 347 NA NA NA NA NA 691 711 372 NA NA NA NA
1471078800.0 10025.0 NA 105 213 0 NA NA NA NA NA 176 301 0 NA NA NA NA NA 381 711 370 NA NA NA NA NA 442 800 408 NA NA NA NA
1471078800.0 10026.0 NA 104 220 0 NA NA NA NA NA 177 302 0 NA NA NA NA NA 543 1317 549 NA NA NA NA NA 731 1558 578 NA NA NA NA
1471078800.0 1003.0 NA 175 0 NA NA NA NA NA NA 235 0 NA NA NA NA NA NA 2277 425 NA NA NA NA NA NA 2712 1423 NA NA NA NA NA
1471078800.0 1004.0 NA 180 130 0 0 0 0 NA NA 242 180 0 0 0 0 NA NA 700 220 10 73 486 412 NA NA 739 231 17 78 494 418 NA
1471078800.0 101.0 79 NA NA NA NA NA NA NA 139 NA NA NA NA NA NA NA 1554 NA NA NA NA NA NA NA 1596 NA NA NA NA NA NA NA
