Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1471856400.0 1.0 49 69 131 94 135 171 2442 329 377 2636 440 493
1471856400.0 10.0 NA 84 0 NA 153 0 NA 4149 0 NA 4236 0
1471856400.0 1000.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1471856400.0 1001.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1471856400.0 1002.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1471856400.0 10021.0 NA 99 0 NA 177 0 NA 426 0 NA 531 0
1471856400.0 10023.0 NA 105 0 NA 177 0 NA 395 0 NA 474 0
1471856400.0 10024.0 NA 104 0 NA 177 0 NA 454 0 NA 640 0
1471856400.0 10024.1 NA 104 0 NA 177 0 NA 453 0 NA 909 0
1471856400.0 10024.2 NA 103 0 NA 177 0 NA 455 0 NA 551 0
1471856400.0 10024.3 NA 103 0 NA 178 0 NA 528 0 NA 1126 0
1471856400.0 10024.4 NA 104 0 NA 176 0 NA 553 0 NA 706 0
1471856400.0 10024.5 NA 104 0 NA 177 0 NA 454 0 NA 1011 0
1471856400.0 10025.0 NA 105 0 NA 177 0 NA 427 0 NA 554 0
1471856400.0 10026.0 NA 103 0 NA 176 0 NA 548 0 NA 793 0
1471856400.0 1003.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1471856400.0 1004.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1471856400.0 101.0 78 NA NA 138 NA NA 1246 NA NA 1318 NA NA
1471856400.0 102.0 78 NA NA 139 NA NA 817 NA NA 870 NA NA
1471856400.0 10224.0 NA 139 0 NA 205 0 NA 2560 0 NA 7298 0
1471856400.0 10225.0 NA 136 0 NA 207 0 NA 2588 0 NA 10370 0
1471856400.0 103.0 35 0 0 76 0 0 396 108 0 515 120 0
1471856400.0 10421.0 74 88 0 114 132 0 1563 974 0 1699 1638 0
1471856400.0 10424.0 85 81 0 130 127 0 7743 1062 0 8147 1173 0
1471856400.0 10425.0 81 80 0 130 128 0 9950 1725 0 15029 2077 0
1471856400.0 10426.0 85 87 0 131 127 0 9045 858 0 9255 940 0
1471856400.0 105.0 49 72 24 94 143 57 2373 329 3 2503 349 8
1471856400.0 106.0 34 0 0 76 0 0 411 113 0 503 126 0
1471856400.0 107.0 48 70 0 94 142 0 5193 426 0 5305 446 0
1471856400.0 108.0 51 74 0 98 144 0 10624 677 0 11261 695 0
1471856400.0 10821.0 78 78 0 120 121 0 1337 836 0 1481 960 0
1471856400.0 10824.0 90 80 0 135 127 0 7632 1068 0 7953 1152 0
1471856400.0 10825.0 86 80 0 135 128 0 10151 1717 0 15338 1962 0
1471856400.0 10826.0 89 82 0 136 127 0 9304 918 0 9537 1115 0
1471856400.0 109.0 50 74 0 98 143 0 11027 704 0 16225 842 0
1471856400.0 11.0 NA 80 0 NA 151 0 NA 1898 0 NA 1927 0
1471856400.0 110.0 42 72 0 87 143 0 545 319 0 652 375 0
1471856400.0 1102.0 NA 82 0 NA 153 0 NA 3902 0 NA 6810 0
