Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1471730400.0 1302.0 110 185 203 NA 169 307 310 NA 6737 513 1892 NA 2902 320 2086 NA
1471730400.0 134.702 NA 40 377 0 NA 94 492 0 NA 154 7566 368 NA 201 3639 378
1471730400.0 134.705 NA 41 388 0 NA 93 498 0 NA 171 8040 362 NA 222 3841 374
1471730400.0 134.904 NA 42 377 0 NA 96 481 0 NA 171 7581 365 NA 201 3637 376
1471730400.0 135.12 397 0 105 NA 512 0 194 NA 920 156 248 NA 638 164 238 NA
1471730400.0 135.2 350 0 104 NA 477 0 186 NA 587 141 232 NA 560 148 235 NA
1471730400.0 135.3 351 0 107 NA 469 0 195 NA 594 143 164 NA 578 155 171 NA
1471730400.0 135.4 397 0 104 NA 500 0 185 NA 825 153 530 NA 648 159 531 NA
1471730400.0 135.5 389 0 110 NA 525 0 182 NA 830 156 593 NA 656 164 598 NA
1471730400.0 135.7 393 0 102 NA 524 0 199 NA 1005 163 192 NA 662 170 182 NA
1471730400.0 135.9 400 0 105 NA 510 0 194 NA 758 158 180 NA 618 165 188 NA
1471730400.0 250200.1 102 345 247 NA 167 459 359 NA 5024 1383 2287 NA 2464 732 1565 NA
1471730400.0 250400.0 419 0 108 NA 557 0 198 NA 1242 157 280 NA 836 165 224 NA
1471730400.0 250408.0 417 0 116 NA 560 0 202 NA 1253 160 279 NA 871 165 208 NA
1471730400.0 25406.0 496 0 111 NA 654 0 195 NA 2520 182 234 NA 1671 193 225 NA
1471730400.0 4.23 NA 66 353 0 NA 114 447 0 NA 149 2897 455 NA 272 1913 474
1471730400.0 4.36 NA 62 361 0 NA 101 451 0 NA 104 4070 353 NA 120 2167 382
1471730400.0 4.76 NA 59 381 0 NA 96 479 0 NA 145 8405 362 NA 170 3078 389
