Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1470387600.0 1.0 47 61 120 NA NA NA NA NA 162 220 277 NA NA NA NA NA 3892 609 414 NA NA NA NA NA 4060 657 443 NA NA NA NA NA
1470387600.0 10.0 NA 86 195 0 NA NA NA NA NA 237 398 0 NA NA NA NA NA 1943 1448 391 NA NA NA NA NA 2298 1517 411 NA NA NA NA
1470387600.0 1000.0 NA 210 121 0 41 NA NA NA NA 404 266 0 139 NA NA NA NA 2036 465 463 141 NA NA NA NA 2116 550 493 180 NA NA NA
1470387600.0 1001.0 NA 182 166 0 0 0 0 0 NA 375 299 0 0 0 0 0 NA 1878 389 6 60 425 20 374 NA 1924 408 9 69 429 35 382
1470387600.0 1002.0 NA 200 58 NA NA NA NA NA NA 410 141 NA NA NA NA NA NA 3016 196 NA NA NA NA NA NA 3174 207 NA NA NA NA NA
1470387600.0 10021.0 NA 97 213 0 NA NA NA NA NA 263 449 0 NA NA NA NA NA 629 1161 413 NA NA NA NA NA 683 1256 420 NA NA NA NA
1470387600.0 10023.0 NA 98 211 0 NA NA NA NA NA 264 449 0 NA NA NA NA NA 573 839 514 NA NA NA NA NA 628 946 529 NA NA NA NA
1470387600.0 10024.0 NA 101 218 0 NA NA NA NA NA 264 450 0 NA NA NA NA NA 662 1131 523 NA NA NA NA NA 731 1237 538 NA NA NA NA
1470387600.0 10024.1 NA 101 140 0 NA NA NA NA NA 268 318 0 NA NA NA NA NA 678 398 282 NA NA NA NA NA 762 439 287 NA NA NA NA
1470387600.0 10024.2 NA 101 217 0 NA NA NA NA NA 264 449 0 NA NA NA NA NA 674 1135 603 NA NA NA NA NA 745 1233 642 NA NA NA NA
1470387600.0 10024.3 NA 101 137 0 NA NA NA NA NA 273 314 0 NA NA NA NA NA 698 397 255 NA NA NA NA NA 788 428 260 NA NA NA NA
1470387600.0 10024.4 NA 101 217 0 NA NA NA NA NA 264 448 0 NA NA NA NA NA 657 1093 484 NA NA NA NA NA 735 1180 494 NA NA NA NA
1470387600.0 10024.5 NA 108 130 0 NA NA NA NA NA 263 313 0 NA NA NA NA NA 478 423 271 NA NA NA NA NA 575 525 351 NA NA NA NA
1470387600.0 10025.0 NA 102 218 0 NA NA NA NA NA 273 450 0 NA NA NA NA NA 641 930 435 NA NA NA NA NA 679 1013 443 NA NA NA NA
1470387600.0 10026.0 NA 101 220 0 NA NA NA NA NA 263 450 0 NA NA NA NA NA 674 1357 621 NA NA NA NA NA 729 1577 658 NA NA NA NA
1470387600.0 1003.0 NA 173 0 NA NA NA NA NA NA 363 0 NA NA NA NA NA NA 4312 557 NA NA NA NA NA NA 4552 597 NA NA NA NA NA
1470387600.0 101.0 77 NA NA NA NA NA NA NA 232 NA NA NA NA NA NA NA 1262 NA NA NA NA NA NA NA 1345 NA NA NA NA NA NA NA
1470387600.0 102.0 79 NA NA NA NA NA NA NA 232 NA NA NA NA NA NA NA 750 NA NA NA NA NA NA NA 805 NA NA NA NA NA NA NA
1470387600.0 10224.0 NA 141 283 0 NA NA NA NA NA 291 520 0 NA NA NA NA NA 3149 4756 584 NA NA NA NA NA 3762 9161 643 NA NA NA NA
1470387600.0 10225.0 NA 137 294 0 NA NA NA NA NA 293 525 0 NA NA NA NA NA 2566 3385 381 NA NA NA NA NA 10071 10778 414 NA NA NA NA
1470387600.0 103.0 33 0 0 NA NA NA NA NA 142 0 0 NA NA NA NA NA 366 78 155 NA NA NA NA NA 379 150 185 NA NA NA NA NA
1470387600.0 105.0 47 71 24 NA NA NA NA NA 162 228 123 NA NA NA NA NA 3672 402 2 NA NA NA NA NA 3727 410 6 NA NA NA NA NA
1470387600.0 106.0 33 0 0 NA NA NA NA NA 142 0 0 NA NA NA NA NA 368 86 159 NA NA NA NA NA 378 102 198 NA NA NA NA NA
1470387600.0 10621.0 72 76 0 NA NA NA NA NA 183 208 0 NA NA NA NA NA 2111 1061 0 NA NA NA NA NA 2171 1169 0 NA NA NA NA NA
1470387600.0 10624.0 83 86 0 NA NA NA NA NA 199 213 0 NA NA NA NA NA 3918 501 0 NA NA NA NA NA 4052 553 0 NA NA NA NA NA
1470387600.0 10625.0 81 76 0 NA NA NA NA NA 199 214 0 NA NA NA NA NA 8523 1198 0 NA NA NA NA NA 8751 1342 0 NA NA NA NA NA
1470387600.0 10626.0 82 77 0 NA NA NA NA NA 201 220 0 NA NA NA NA NA 11539 746 0 NA NA NA NA NA 24845 1193 0 NA NA NA NA NA
1470387600.0 107.0 47 70 187 NA NA NA NA NA 163 228 394 NA NA NA NA NA 7027 557 820 NA NA NA NA NA 7171 580 882 NA NA NA NA NA
1470387600.0 108.0 50 77 191 NA NA NA NA NA 164 227 393 NA NA NA NA NA 3644 302 406 NA NA NA NA NA 3761 416 438 NA NA NA NA NA
1470387600.0 10821.0 83 NA NA NA NA NA NA NA 196 NA NA NA NA NA NA NA 4144 NA NA NA NA NA NA NA 4223 NA NA NA NA NA NA NA
