Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueVsize1 PeakValueVsize2 TotalJobCPU1 TotalJobCPU2 TotalJobTime1 TotalJobTime2
1471856400.0 1000.0 NA 0 NA 0 NA 0 NA 0
1471856400.0 1002.0 NA 0 NA 0 NA 0 NA 0
1471856400.0 10021.0 NA 0 NA 0 NA 0 NA 0
1471856400.0 10023.0 NA 0 NA 0 NA 0 NA 0
1471856400.0 101.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 102.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 10224.0 NA 0 NA 0 NA 0 NA 0
1471856400.0 103.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 10421.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 105.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 10824.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 109.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 11.0 NA 0 NA 0 NA 0 NA 0
1471856400.0 11224.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 11225.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 120.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 121.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 128.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 129.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 130.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 1302.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 1303.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 1321.0 NA 0 NA 0 NA 0 NA 0
1471856400.0 1322.0 NA 0 NA 0 NA 0 NA 0
1471856400.0 1324.0 NA 0 NA 0 NA 0 NA 0
1471856400.0 133.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 1332.0 NA 0 NA 0 NA 0 NA 0
1471856400.0 1333.0 NA 0 NA 0 NA 0 NA 0
1471856400.0 134.0 NA 0 NA 0 NA 0 NA 0
1471856400.0 134.703 NA 0 NA 0 NA 0 NA 0
1471856400.0 134.903 NA 0 NA 0 NA 0 NA 0
1471856400.0 134.905 NA 0 NA 0 NA 0 NA 0
1471856400.0 134.99901 NA 0 NA 0 NA 0 NA 0
1471856400.0 1340.0 NA 0 NA 0 NA 0 NA 0
1471856400.0 1343.0 NA 0 NA 0 NA 0 NA 0
1471856400.0 1349.0 NA 0 NA 0 NA 0 NA 0
1471856400.0 1353.0 NA 0 NA 0 NA 0 NA 0
1471856400.0 1355.0 NA 0 NA 0 NA 0 NA 0
1471856400.0 1356.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 136.722 NA 0 NA 0 NA 0 NA 0
1471856400.0 136.723 NA 0 NA 0 NA 0 NA 0
1471856400.0 136.725 NA 0 NA 0 NA 0 NA 0
1471856400.0 136.731 NA 0 NA 0 NA 0 NA 0
1471856400.0 1361.0 0 NA 0 NA 0 NA 0 NA
1471856400.0 1362.0 0 NA 0 NA 0 NA 0 NA
