Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1471510800.0 1.0 72 75 128 NA NA NA NA NA 146 175 237 NA NA NA NA NA 3169 394 266 NA NA NA NA NA 1332 265 246 NA NA NA NA NA
1471510800.0 10.0 NA 100 375 0 NA NA NA NA NA 229 468 0 NA NA NA NA NA 1750 1794 323 NA NA NA NA NA 634 770 374 NA NA NA NA
1471510800.0 1000.0 NA 357 122 0 47 NA NA NA NA 430 193 0 83 NA NA NA NA 3357 555 318 157 NA NA NA NA 1809 375 325 168 NA NA NA
1471510800.0 1001.0 NA 316 191 0 0 0 0 0 NA 395 250 0 0 0 0 0 NA 2268 424 5 26 332 25 327 NA 1039 344 9 41 374 34 330
1471510800.0 1002.0 NA 337 60 NA NA NA NA NA NA 420 108 NA NA NA NA NA NA 2492 213 NA NA NA NA NA NA 1111 134 NA NA NA NA NA
1471510800.0 10021.0 NA 121 377 0 NA NA NA NA NA 248 484 0 NA NA NA NA NA 381 818 207 NA NA NA NA NA 300 659 220 NA NA NA NA
1471510800.0 10023.0 NA 126 382 0 NA NA NA NA NA 243 508 0 NA NA NA NA NA 352 642 188 NA NA NA NA NA 280 608 205 NA NA NA NA
1471510800.0 10024.0 NA 127 387 0 NA NA NA NA NA 254 504 0 NA NA NA NA NA 682 992 292 NA NA NA NA NA 497 824 328 NA NA NA NA
1471510800.0 10024.1 NA 121 242 0 NA NA NA NA NA 257 340 0 NA NA NA NA NA 605 485 254 NA NA NA NA NA 461 383 259 NA NA NA NA
1471510800.0 10024.2 NA 120 380 0 NA NA NA NA NA 251 488 0 NA NA NA NA NA 640 1183 377 NA NA NA NA NA 483 929 384 NA NA NA NA
1471510800.0 10024.3 NA 122 224 0 NA NA NA NA NA 250 317 0 NA NA NA NA NA 590 488 217 NA NA NA NA NA 419 372 222 NA NA NA NA
1471510800.0 10024.4 NA 123 384 0 NA NA NA NA NA 239 485 0 NA NA NA NA NA 397 781 217 NA NA NA NA NA 582 679 225 NA NA NA NA
1471510800.0 10024.5 NA 122 219 0 NA NA NA NA NA 256 308 0 NA NA NA NA NA 545 464 222 NA NA NA NA NA 393 383 227 NA NA NA NA
1471510800.0 10025.0 NA 122 383 0 NA NA NA NA NA 248 490 0 NA NA NA NA NA 389 729 210 NA NA NA NA NA 669 679 217 NA NA NA NA
1471510800.0 10026.0 NA 132 402 0 NA NA NA NA NA 243 510 0 NA NA NA NA NA 945 2291 482 NA NA NA NA NA 772 1808 497 NA NA NA NA
1471510800.0 1003.0 NA 278 0 NA NA NA NA NA NA 368 0 NA NA NA NA NA NA 3217 255 NA NA NA NA NA NA 1249 262 NA NA NA NA NA
