Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1471770000.0 1.0 72 81 137 NA NA NA NA 152 201 203 NA NA NA NA 2120 288 225 NA NA NA NA 947 200 212 NA NA NA NA
1471770000.0 10024.1 NA 121 239 0 NA NA NA NA 239 337 0 NA NA NA NA 412 386 184 NA NA NA NA 325 295 197 NA NA NA
1471770000.0 10024.3 NA 122 225 0 NA NA NA NA 242 313 0 NA NA NA NA 414 363 169 NA NA NA NA 304 288 176 NA NA NA
1471770000.0 10024.5 NA 121 216 0 NA NA NA NA 247 305 0 NA NA NA NA 403 344 177 NA NA NA NA 310 294 189 NA NA NA
1471770000.0 1003.0 NA 277 0 NA NA NA NA NA 368 0 NA NA NA NA NA 2424 199 NA NA NA NA NA 1032 275 NA NA NA NA
1471770000.0 1004.0 NA 367 130 0 0 0 0 NA 467 181 0 0 0 0 NA 578 107 3 17 244 197 NA 485 120 10 21 250 201
1471770000.0 10224.0 NA 190 618 0 NA NA NA NA 364 789 0 NA NA NA NA 2815 5337 287 NA NA NA NA 2254 3528 294 NA NA NA
1471770000.0 103.0 34 0 0 NA NA NA NA 78 0 0 NA NA NA NA 308 108 281 NA NA NA NA 324 130 561 NA NA NA NA
1471770000.0 105.0 73 82 27 NA NA NA NA 145 217 60 NA NA NA NA 2252 316 2 NA NA NA NA 993 260 6 NA NA NA NA
1471770000.0 106.0 34 0 0 NA NA NA NA 78 0 0 NA NA NA NA 312 110 281 NA NA NA NA 319 134 583 NA NA NA NA
1471770000.0 10824.0 123 111 275 0 NA NA NA 191 178 338 0 NA NA NA 10047 1000 948 353 NA NA NA 3888 822 778 367 NA NA NA
1471770000.0 10826.0 125 105 275 0 NA NA NA 196 174 337 0 NA NA NA 12381 1008 973 371 NA NA NA 5267 752 744 383 NA NA NA
1471770000.0 110.0 52 83 358 NA NA NA NA 106 188 449 NA NA NA NA 698 326 437 NA NA NA NA 430 236 411 NA NA NA NA
1471770000.0 112.0 80 90 364 NA NA NA NA 164 191 446 NA NA NA NA 4732 393 500 NA NA NA NA 1620 297 490 NA NA NA NA
1471770000.0 11221.0 94 571 96 NA NA NA NA 142 627 145 NA NA NA NA 7509 2852 880 NA NA NA NA 2891 1823 877 NA NA NA NA
1471770000.0 11224.0 129 579 106 NA NA NA NA 197 635 155 NA NA NA NA 16977 2743 963 NA NA NA NA 5539 1593 926 NA NA NA NA
1471770000.0 11225.0 126 582 103 NA NA NA NA 195 639 154 NA NA NA NA 16811 2332 902 NA NA NA NA 5458 1390 879 NA NA NA NA
1471770000.0 11226.0 133 582 106 NA NA NA NA 200 638 159 NA NA NA NA 24276 2685 1026 NA NA NA NA 8121 1491 1235 NA NA NA NA
1471770000.0 120.0 51 86 355 NA NA NA NA 111 207 435 NA NA NA NA 599 306 465 NA NA NA NA 382 221 422 NA NA NA NA
1471770000.0 122.0 42 77 350 NA NA NA NA 96 160 431 NA NA NA NA 576 182 415 NA NA NA NA 499 192 431 NA NA NA NA
1471770000.0 126.0 53 81 357 NA NA NA NA 112 187 453 NA NA NA NA 1333 338 577 NA NA NA NA 711 255 590 NA NA NA NA
1471770000.0 127.0 53 80 360 NA NA NA NA 109 191 453 NA NA NA NA 1173 314 424 NA NA NA NA 559 225 402 NA NA NA NA
1471770000.0 128.0 48 82 371 NA NA NA NA 97 186 474 NA NA NA NA 593 311 435 NA NA NA NA 383 218 396 NA NA NA NA
1471770000.0 129.0 50 80 356 NA NA NA NA 102 187 444 NA NA NA NA 564 322 426 NA NA NA NA 384 228 404 NA NA NA NA
1471770000.0 13.0 NA 90 379 0 NA NA NA NA 213 478 0 NA NA NA NA 250 876 289 NA NA NA NA 232 590 299 NA NA NA
1471770000.0 130.0 52 81 370 NA NA NA NA 103 186 465 NA NA NA NA 641 314 409 NA NA NA NA 401 224 384 NA NA NA NA
1471770000.0 1302.0 98 191 189 NA NA NA NA 167 306 276 NA NA NA NA 11139 690 705 NA NA NA NA 3634 620 657 NA NA NA NA
1471770000.0 1303.0 88 183 193 NA NA NA NA 160 307 273 NA NA NA NA 9241 474 703 NA NA NA NA 3267 347 456 NA NA NA NA
1471770000.0 131.0 52 81 373 NA NA NA NA 101 180 475 NA NA NA NA 1144 324 450 NA NA NA NA 527 222 408 NA NA NA NA
1471770000.0 1312.0 NA 197 450 0 NA NA NA NA 335 548 0 NA NA NA NA 800 1360 998 NA NA NA NA 558 1128 1076 NA NA NA
1471770000.0 1315.0 NA 177 443 0 NA NA NA NA 321 534 0 NA NA NA NA 573 932 831 NA NA NA NA 515 1080 854 NA NA NA
1471770000.0 1317.0 NA 197 436 0 NA NA NA NA 292 541 0 NA NA NA NA 592 1135 886 NA NA NA NA 501 1106 906 NA NA NA
1471770000.0 1318.0 NA 181 439 0 NA NA NA NA 323 531 0 NA NA NA NA 534 921 817 NA NA NA NA 500 1000 843 NA NA NA
1471770000.0 1319.0 NA 188 441 0 NA NA NA NA 313 532 0 NA NA NA NA 643 1132 864 NA NA NA NA 519 1080 881 NA NA NA
1471770000.0 1322.0 NA 191 455 0 NA NA NA NA 306 531 0 NA NA NA NA 573 1001 828 NA NA NA NA 511 1271 849 NA NA NA
1471770000.0 1325.3 NA 196 205 0 NA NA NA NA 330 286 0 NA NA NA NA 559 371 149 NA NA NA NA 381 516 154 NA NA NA
1471770000.0 1328.0 NA 206 453 0 NA NA NA NA 342 548 0 NA NA NA NA 704 1389 964 NA NA NA NA 544 1486 992 NA NA NA
1471770000.0 1331.0 NA 187 444 0 NA NA NA NA 324 541 0 NA NA NA NA 574 861 585 NA NA NA NA 834 770 593 NA NA NA
1471770000.0 1333.0 NA 190 442 0 NA NA NA NA 315 544 0 NA NA NA NA 586 1145 936 NA NA NA NA 477 1113 955 NA NA NA
1471770000.0 1334.0 NA 210 448 0 NA NA NA NA 310 548 0 NA NA NA NA 730 1225 951 NA NA NA NA 553 1092 967 NA NA NA
1471770000.0 1335.0 NA 209 450 0 NA NA NA NA 320 531 0 NA NA NA NA 691 1283 930 NA NA NA NA 493 1150 944 NA NA NA
1471770000.0 1338.0 NA 208 459 0 NA NA NA NA 308 560 0 NA NA NA NA 760 1504 918 NA NA NA NA 540 1151 930 NA NA NA
1471770000.0 134.0 NA 342 31 0 NA NA NA NA 428 73 0 NA NA NA NA 1963 5 8 NA NA NA NA 1123 11 17 NA NA NA
1471770000.0 134.705 NA 47 384 0 NA NA NA NA 93 487 0 NA NA NA NA 278 6711 381 NA NA NA NA 275 2720 415 NA NA NA
1471770000.0 134.808 NA 79 400 0 NA NA NA NA 162 507 0 NA NA NA NA 5067 7325 287 NA NA NA NA 1956 2462 293 NA NA NA
1471770000.0 134.813 NA 177 61 0 NA NA NA NA 274 107 0 NA NA NA NA 625 83 92 NA NA NA NA 424 132 120 NA NA NA
1471770000.0 134.908 NA 89 390 0 NA NA NA NA 159 492 0 NA NA NA NA 571 5976 376 NA NA NA NA 843 2911 395 NA NA NA
1471770000.0 134.99601 NA 43 384 0 NA NA NA NA 98 465 0 NA NA NA NA 285 8843 354 NA NA NA NA 329 3422 375 NA NA NA
1471770000.0 1347.0 NA 192 446 0 NA NA NA NA 336 545 0 NA NA NA NA 649 1068 916 NA NA NA NA 568 1041 1070 NA NA NA
1471770000.0 135.1 416 0 105 NA NA NA NA 532 0 161 NA NA NA NA 1026 174 301 NA NA NA NA 918 180 739 NA NA NA NA
1471770000.0 135.13 363 0 NA NA NA NA NA 471 0 NA NA NA NA NA 863 123 NA NA NA NA NA 529 127 NA NA NA NA NA
1471770000.0 135.2 359 0 100 NA NA NA NA 478 0 155 NA NA NA NA 953 258 226 NA NA NA NA 825 277 628 NA NA NA NA
1471770000.0 135.3 362 0 108 NA NA NA NA 477 0 156 NA NA NA NA 899 242 207 NA NA NA NA 769 252 248 NA NA NA NA
1471770000.0 135.4 401 0 105 NA NA NA NA 523 0 159 NA NA NA NA 936 164 171 NA NA NA NA 579 170 173 NA NA NA NA
1471770000.0 135.7 401 0 103 NA NA NA NA 526 0 157 NA NA NA NA 1197 188 144 NA NA NA NA 968 194 149 NA NA NA NA
1471770000.0 1350.0 NA 194 454 0 NA NA NA NA 317 553 0 NA NA NA NA 629 1134 961 NA NA NA NA 510 1075 989 NA NA NA
1471770000.0 1351.0 NA 197 450 0 NA NA NA NA 323 546 0 NA NA NA NA 641 1267 970 NA NA NA NA 499 1149 989 NA NA NA
1471770000.0 1352.0 NA 191 460 0 NA NA NA NA 332 549 0 NA NA NA NA 642 1071 884 NA NA NA NA 883 2535 902 NA NA NA
1471770000.0 1353.0 NA 211 450 0 NA NA NA NA 322 546 0 NA NA NA NA 751 1412 907 NA NA NA NA 546 1163 924 NA NA NA
1471770000.0 1356.0 86 196 461 0 104 NA NA 166 310 545 0 161 NA NA 8160 525 844 684 199 NA NA 2574 368 753 697 364 NA NA
1471770000.0 136.721 NA 194 414 0 NA NA NA NA 282 516 0 NA NA NA NA 3129 8281 476 NA NA NA NA 1173 2904 485 NA NA NA
1471770000.0 136.722 NA 192 425 0 NA NA NA NA 291 530 0 NA NA NA NA 3541 9214 429 NA NA NA NA 1181 3270 436 NA NA NA
1471770000.0 136.723 NA 187 413 0 NA NA NA NA 284 501 0 NA NA NA NA 3629 9060 431 NA NA NA NA 1157 2963 438 NA NA NA
1471770000.0 136.724 NA 207 429 0 NA NA NA NA 297 516 0 NA NA NA NA 4360 10850 391 NA NA NA NA 1580 3743 400 NA NA NA
1471770000.0 136.725 NA 198 417 0 NA NA NA NA 291 523 0 NA NA NA NA 3519 9416 442 NA NA NA NA 1168 3059 449 NA NA NA
1471770000.0 136.726 NA 207 413 0 NA NA NA NA 291 516 0 NA NA NA NA 4239 10142 395 NA NA NA NA 1572 3636 402 NA NA NA
1471770000.0 136.727 NA 228 431 0 NA NA NA NA 341 538 0 NA NA NA NA 36256 8134 402 NA NA NA NA 13032 3026 410 NA NA NA
1471770000.0 136.728 NA 230 435 0 NA NA NA NA 336 544 0 NA NA NA NA 6537 8879 384 NA NA NA NA 2762 3213 391 NA NA NA
1471770000.0 136.729 NA 204 418 0 NA NA NA NA 287 508 0 NA NA NA NA 3670 9992 413 NA NA NA NA 1436 3570 425 NA NA NA
1471770000.0 136.73 NA 194 438 0 NA NA NA NA 290 548 0 NA NA NA NA 3050 7806 377 NA NA NA NA 1021 3214 384 NA NA NA
