Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1471856400.0 10425.0 116 99 216 0 NA 192 161 279 0 NA 5847 638 632 109 NA 2711 490 524 114 NA
1471856400.0 10426.0 118 105 220 0 NA 190 171 286 0 NA 7804 631 616 116 NA 3039 488 468 134 NA
1471856400.0 10821.0 91 96 210 0 NA 141 169 281 0 NA 1500 829 666 113 NA 1143 613 478 118 NA
1471856400.0 118.0 75 92 370 NA NA 162 200 465 NA NA 5568 540 601 NA NA 1753 363 467 NA NA
1471856400.0 121.0 79 92 378 NA NA 165 194 470 NA NA 5880 379 610 NA NA 2165 256 455 NA NA
1471856400.0 1302.0 92 192 190 NA NA 167 312 280 NA NA 13336 1081 1029 NA NA 4689 748 771 NA NA
1471856400.0 1303.0 90 190 196 NA NA 164 305 273 NA NA 9651 534 746 NA NA 3705 369 464 NA NA
1471856400.0 1309.0 NA 217 457 0 NA NA 317 551 0 NA NA 641 982 626 NA NA 439 1008 632 NA
1471856400.0 1311.0 NA 187 453 0 69 NA 315 542 0 107 NA 960 1651 1428 159 NA 784 1596 1457 219
1471856400.0 1312.0 NA 193 453 0 NA NA 336 549 0 NA NA 498 1102 638 NA NA 356 1154 651 NA
1471856400.0 1314.0 NA 206 463 0 NA NA 317 533 0 NA NA 451 742 628 NA NA 332 648 640 NA
1471856400.0 1319.0 NA 179 442 0 NA NA 316 527 0 NA NA 406 645 600 NA NA 332 623 614 NA
1471856400.0 1323.0 NA 184 448 0 NA NA 305 553 0 NA NA 458 591 693 NA NA 337 565 701 NA
1471856400.0 1325.2 NA 198 456 0 NA NA 336 539 0 NA NA 572 1015 680 NA NA 407 755 688 NA
1471856400.0 1329.0 NA 199 457 0 NA NA 328 541 0 NA NA 447 712 644 NA NA 328 648 653 NA
1471856400.0 1330.0 NA 204 453 0 NA NA 306 548 0 NA NA 573 861 725 NA NA 404 984 731 NA
1471856400.0 1332.0 NA 202 455 0 NA NA 310 550 0 NA NA 423 824 658 NA NA 339 932 670 NA
1471856400.0 1334.0 NA 199 455 0 NA NA 328 535 0 NA NA 451 779 619 NA NA 338 884 633 NA
1471856400.0 1336.0 NA 197 454 0 NA NA 342 549 0 NA NA 702 1702 660 NA NA 685 974 667 NA
1471856400.0 1337.0 NA 206 469 0 NA NA 342 564 0 NA NA 729 1244 673 NA NA 454 790 680 NA
1471856400.0 1338.0 NA 214 456 0 NA NA 317 555 0 NA NA 660 1060 649 NA NA 441 1008 655 NA
1471856400.0 1339.0 NA 219 466 0 NA NA 315 552 0 NA NA 778 1241 751 NA NA 455 1094 758 NA
1471856400.0 134.707 NA 40 375 0 NA NA 95 459 0 NA NA 154 4250 319 NA NA 165 1501 333 NA
1471856400.0 134.804 NA 46 390 0 NA NA 96 495 0 NA NA 344 12748 543 NA NA 367 4565 557 NA
1471856400.0 134.907 NA 84 387 0 NA NA 158 485 0 NA NA 4507 4875 287 NA NA 1738 2000 293 NA
1471856400.0 134.908 NA 86 388 0 NA NA 162 484 0 NA NA 969 9630 554 NA NA 853 3896 569 NA
1471856400.0 134.91 NA 38 366 0 NA NA 96 456 0 NA NA 147 4754 261 NA NA 143 1761 266 NA
1471856400.0 134.99601 NA 38 381 0 NA NA 96 487 0 NA NA 202 6909 349 NA NA 186 2264 357 NA
1471856400.0 134.99602 NA 37 367 0 NA NA 96 470 0 NA NA 183 4840 255 NA NA 162 1809 263 NA
1471856400.0 1341.0 NA 203 466 0 NA NA 345 574 0 NA NA 652 1151 772 NA NA 424 745 827 NA
1471856400.0 1343.0 NA 193 457 0 NA NA 321 540 0 NA NA 512 892 722 NA NA 349 715 729 NA
1471856400.0 1345.0 NA 195 450 0 NA NA 335 546 0 NA NA 585 745 768 NA NA 398 630 782 NA
1471856400.0 1348.0 NA 185 443 0 NA NA 325 539 0 NA NA 421 695 607 NA NA 323 646 621 NA
1471856400.0 1349.0 NA 188 446 0 NA NA 321 533 0 NA NA 439 850 775 NA NA 313 723 783 NA
1471856400.0 135.5 401 0 111 NA NA 524 0 158 NA NA 864 173 147 NA NA 598 179 174 NA NA
1471856400.0 1350.0 NA 196 454 0 NA NA 319 535 0 NA NA 548 802 634 NA NA 375 956 647 NA
1471856400.0 1352.0 NA 189 453 0 NA NA 329 544 0 NA NA 500 802 665 NA NA 353 676 674 NA
1471856400.0 1353.0 NA 204 451 0 NA NA 345 547 0 NA NA 624 889 757 NA NA 403 958 762 NA
1471856400.0 1354.0 NA 208 461 0 NA NA 308 545 0 NA NA 459 786 653 NA NA 334 884 668 NA
1471856400.0 1355.0 NA 200 453 0 NA NA 341 540 0 NA NA 517 1071 672 NA NA 343 823 679 NA
1471856400.0 136.728 NA 242 438 0 NA NA 336 540 0 NA NA 8152 8150 391 NA NA 3361 3008 402 NA
1471856400.0 136.732 NA 195 404 0 NA NA 278 491 0 NA NA 1994 4794 454 NA NA 1108 1980 461 NA
1471856400.0 136.735 NA 169 338 0 NA NA 258 419 0 NA NA 760 1353 401 NA NA 525 813 429 NA
1471856400.0 204.0 75 113 406 0 NA 161 222 504 0 NA 4346 726 989 298 NA 1517 468 687 305 NA
1471856400.0 250200.1 88 340 229 NA NA 177 452 306 NA NA 6845 1684 1341 NA NA 2647 853 581 NA NA
1471856400.0 250202.0 NA 400 546 0 NA NA 561 661 0 NA NA 15007 3189 721 NA NA 5656 1363 759 NA
1471856400.0 250203.0 NA 385 533 0 NA NA 534 661 0 NA NA 14045 2861 820 NA NA 5468 1302 836 NA
1471856400.0 250205.0 NA 371 535 0 NA NA 543 653 0 NA NA 12350 2894 702 NA NA 5183 1256 712 NA
