Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1471338000.0 1.0 49 64 120 NA NA NA NA NA 94 135 171 NA NA NA NA NA 2936 316 320 NA NA NA NA NA 3803 406 478 NA NA NA NA NA
1471338000.0 10.0 NA 82 198 0 NA NA NA NA NA 152 257 0 NA NA NA NA NA 3947 3534 978 NA NA NA NA NA 4084 3612 1012 NA NA NA NA
1471338000.0 1000.0 NA 206 122 0 46 NA NA NA NA 274 181 0 79 NA NA NA NA 1739 348 343 84 NA NA NA NA 1788 408 351 100 NA NA NA
1471338000.0 1001.0 NA 185 166 0 0 0 0 0 NA 246 216 0 0 0 0 0 NA 1707 315 5 52 341 18 312 NA 1824 372 10 62 347 26 317
1471338000.0 1002.0 NA 206 64 NA NA NA NA NA NA 274 99 NA NA NA NA NA NA 2085 149 NA NA NA NA NA NA 3436 202 NA NA NA NA NA
1471338000.0 10021.0 NA 99 215 0 NA NA NA NA NA 176 300 0 NA NA NA NA NA 437 875 436 NA NA NA NA NA 629 1343 908 NA NA NA NA
1471338000.0 10023.0 NA 100 214 0 NA NA NA NA NA 177 300 0 NA NA NA NA NA 383 589 339 NA NA NA NA NA 539 950 390 NA NA NA NA
1471338000.0 10024.0 NA 103 221 0 NA NA NA NA NA 177 301 0 NA NA NA NA NA 404 589 299 NA NA NA NA NA 478 642 313 NA NA NA NA
1471338000.0 10024.1 NA 104 141 0 NA NA NA NA NA 177 209 0 NA NA NA NA NA 427 418 308 NA NA NA NA NA 549 503 319 NA NA NA NA
1471338000.0 10024.2 NA 103 221 0 NA NA NA NA NA 176 300 0 NA NA NA NA NA 480 862 444 NA NA NA NA NA 3447 1393 527 NA NA NA NA
1471338000.0 10024.3 NA 103 134 0 NA NA NA NA NA 177 183 0 NA NA NA NA NA 456 448 291 NA NA NA NA NA 728 673 305 NA NA NA NA
1471338000.0 10024.4 NA 105 221 0 NA NA NA NA NA 176 299 0 NA NA NA NA NA 464 842 425 NA NA NA NA NA 679 1311 457 NA NA NA NA
