Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1471730400.0 10024.2 NA 103 218 0 NA NA 177 280 0 NA NA 427 730 338 NA NA 639 890 456 NA
1471730400.0 10024.3 NA 106 134 0 NA NA 177 204 0 NA NA 424 422 290 NA NA 812 485 313 NA
1471730400.0 10026.0 NA 108 235 0 NA NA 177 290 0 NA NA 416 936 367 NA NA 496 1052 395 NA
1471730400.0 101.0 76 NA NA NA NA 138 NA NA NA NA 1289 NA NA NA NA 1360 NA NA NA NA
1471730400.0 102.0 77 NA NA NA NA 138 NA NA NA NA 885 NA NA NA NA 966 NA NA NA NA
1471730400.0 10224.0 NA 143 287 0 NA NA 207 386 0 NA NA 2455 3578 378 NA NA 6201 9182 402 NA
1471730400.0 103.0 34 0 0 NA NA 75 0 0 NA NA 410 90 168 NA NA 450 119 199 NA NA
1471730400.0 10421.0 73 76 147 0 NA 114 126 196 0 NA 1260 770 707 276 NA 1521 1674 2610 695 NA
1471730400.0 10426.0 83 75 151 0 NA 130 133 200 0 NA 9435 679 626 353 NA 9952 2434 1445 378 NA
1471730400.0 110.0 41 70 186 NA NA 86 142 254 NA NA 633 352 431 NA NA 655 393 489 NA NA
1471730400.0 11224.0 91 202 83 NA NA 138 254 126 NA NA 11752 2407 1055 NA NA 15184 2956 1188 NA NA
1471730400.0 11226.0 97 208 86 NA NA 144 255 128 NA NA 17487 1979 796 NA NA 18031 2007 839 NA NA
1471730400.0 120.0 40 76 185 NA NA 85 142 254 NA NA 497 343 395 NA NA 526 366 436 NA NA
1471730400.0 123.1 174 NA NA NA NA 243 NA NA NA NA 717 NA NA NA NA 791 NA NA NA NA
1471730400.0 123.3 162 NA NA NA NA 225 NA NA NA NA 506 NA NA NA NA 617 NA NA NA NA
1471730400.0 124.1 170 NA NA NA NA 238 NA NA NA NA 524 NA NA NA NA 660 NA NA NA NA
1471730400.0 124.2 175 NA NA NA NA 243 NA NA NA NA 733 NA NA NA NA 835 NA NA NA NA
1471730400.0 124.4 169 NA NA NA NA 238 NA NA NA NA 515 NA NA NA NA 615 NA NA NA NA
1471730400.0 124.5 170 NA NA NA NA 238 NA NA NA NA 543 NA NA NA NA 662 NA NA NA NA
1471730400.0 124.6 161 NA NA NA NA 228 NA NA NA NA 511 NA NA NA NA 649 NA NA NA NA
1471730400.0 128.0 40 70 185 NA NA 81 142 254 NA NA 475 336 391 NA NA 496 355 440 NA NA
1471730400.0 129.0 40 70 186 NA NA 82 142 254 NA NA 479 343 370 NA NA 507 374 423 NA NA
1471730400.0 130.0 41 67 186 NA NA 86 143 254 NA NA 613 349 399 NA NA 648 411 468 NA NA
1471730400.0 1301.0 56 143 159 NA NA 101 201 213 NA NA 1381 473 391 NA NA 1828 549 748 NA NA
1471730400.0 134.702 NA 37 219 0 NA NA 84 277 0 NA NA 209 8682 765 NA NA 235 8923 805 NA
1471730400.0 134.703 NA 38 228 0 NA NA 88 289 0 NA NA 201 8585 745 NA NA 236 8854 787 NA
1471730400.0 134.809 NA 36 220 0 NA NA 85 281 0 NA NA 253 9885 679 NA NA 319 10165 700 NA
1471730400.0 134.813 NA 113 51 0 NA NA 198 93 0 NA NA 709 83 160 NA NA 964 158 180 NA
1471730400.0 135.8 82 NA NA NA NA 142 NA NA NA NA 271 NA NA NA NA 516 NA NA NA NA
1471730400.0 1356.0 57 162 238 0 100 104 212 312 0 147 6576 625 669 908 220 7190 709 1880 1303 609
1471730400.0 136.721 NA 159 235 0 NA NA 223 299 0 NA NA 3356 7328 555 NA NA 3754 11166 574 NA
1471730400.0 136.722 NA 160 246 0 NA NA 230 323 0 NA NA 4019 8077 596 NA NA 4432 11827 703 NA
