Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1471856400.0 10025.0 NA 105 214 0 NA 178 282 0 NA 608 1016 484 NA 659 1135 687
1471856400.0 10224.0 NA 137 292 0 NA 213 387 0 NA 3455 4614 669 NA 7908 9205 699
1471856400.0 10426.0 84 77 139 0 131 134 188 0 13920 974 799 308 14392 1547 1979 326
1471856400.0 10826.0 88 81 141 0 136 128 187 0 8555 594 555 165 10263 1780 690 175
1471856400.0 11225.0 88 204 83 NA 137 254 126 NA 7876 2219 882 NA 9457 3508 1236 NA
1471856400.0 1322.0 NA 159 232 0 NA 218 296 0 NA 758 980 1270 NA 811 1090 1601
1471856400.0 134.702 NA 43 228 0 NA 84 278 0 NA 194 6357 553 NA 321 6981 684
1471856400.0 134.81 NA 42 225 0 NA 87 282 0 NA 381 12829 768 NA 430 13859 800
1471856400.0 134.811 NA 45 228 0 NA 87 289 0 NA 236 8139 555 NA 264 9022 597
1471856400.0 136.7321 NA 158 257 0 NA 226 319 0 NA 1875 5121 538 NA 2358 9148 569
1471856400.0 136.734 NA 170 239 0 NA 227 302 0 NA 4402 9766 744 NA 4841 10947 764
1471856400.0 1360.0 70 159 239 0 157 216 304 0 3418 535 737 1169 5954 930 1225 1209
1471856400.0 1361.0 58 163 240 0 157 215 301 0 7486 872 1051 1165 10378 989 1336 1729
1471856400.0 13992502.0 NA 212 314 0 NA 276 412 0 NA 3435 4094 1260 NA 6611 7444 1319
1471856400.0 200.0 NA 87 205 0 NA 154 278 0 NA 860 1598 647 NA 1200 2034 1111
1471856400.0 205.0 NA 84 205 0 NA 154 275 0 NA 924 1452 729 NA 1388 1834 749
1471856400.0 250400.0 232 0 101 NA 320 0 146 NA 2477 543 615 NA 2875 706 976 NA
1471856400.0 250403.0 234 0 101 NA 320 0 147 NA 2373 574 618 NA 2867 720 987 NA
1471856400.0 25210.0 69 196 314 0 157 269 397 0 2381 1034 1340 888 4030 3386 4305 908
1471856400.0 25400.0 263 0 102 NA 368 0 146 NA 2987 292 232 NA 10131 337 315 NA
1471856400.0 25402.0 268 0 100 NA 369 0 146 NA 5721 409 472 NA 10119 1541 568 NA
1471856400.0 25408.0 278 0 103 NA 381 0 149 NA 4051 304 360 NA 9752 341 461 NA
1471856400.0 25409.0 264 0 104 NA 374 0 146 NA 4097 410 342 NA 5953 431 473 NA
1471856400.0 280.0 86 81 191 0 168 143 255 0 10195 725 949 1108 10476 747 1094 1143
1471856400.0 34.0 52 74 190 0 97 143 255 0 9592 664 1027 1098 9966 717 1202 1136
1471856400.0 36.0 NA 84 198 0 NA 153 258 0 NA 1677 6217 523 NA 1888 7916 645
1471856400.0 4.26 NA 56 208 0 NA 97 268 0 NA 131 3636 752 NA 177 3817 794
1471856400.0 4.65 NA 38 219 0 NA 80 286 0 NA 148 9112 389 NA 242 13067 473
1471856400.0 4.67 NA 59 222 0 NA 96 283 0 NA 170 9522 509 NA 267 10072 535
1471856400.0 4.73 NA 41 226 0 NA 82 278 0 NA 314 13361 718 NA 357 13757 748
1471856400.0 4002.0 NA 82 191 NA NA 163 256 NA NA 3113 1919 NA NA 3205 2321 NA
1471856400.0 500199.0 109 NA NA NA 168 NA NA NA 4410 NA NA NA 6384 NA NA NA
1471856400.0 500200.1 58 99 162 NA 105 158 223 NA 8143 729 1528 NA 9043 1186 1685 NA
1471856400.0 500202.0 NA 125 237 0 NA 207 316 0 NA 5576 2569 714 NA 6367 3424 746
1471856400.0 50202.0 NA 112 278 0 NA 164 358 0 NA 1737 3608 687 NA 3731 5542 709
1471856400.0 50208.0 NA 115 261 0 NA 164 346 0 NA 2644 5834 1083 NA 4797 7824 1125
1471856400.0 512.0 15 37 0 NA 133 67 0 NA 17 68 22 NA 6273 82 48 NA
1471856400.0 6.0 NA 81 199 0 NA 153 256 0 NA 2590 1047 682 NA 2700 1133 701
