Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470646800.0 1.0 74 82 139 NA NA 151 201 222 NA NA 2596 417 312 NA NA 1223 271 304 NA NA
1470646800.0 10.0 NA 111 383 0 NA NA 223 476 0 NA NA 2519 2443 456 NA NA 1020 1056 492 NA
1470646800.0 1000.0 NA 354 134 0 41 NA 431 191 0 82 NA 4166 944 543 196 NA 1902 696 555 192
1470646800.0 1002.0 NA 341 68 NA NA NA 445 105 NA NA NA 2318 168 NA NA NA 1076 132 NA NA
1470646800.0 10021.0 NA 124 374 0 NA NA 237 516 0 NA NA 552 1192 291 NA NA 503 992 302 NA
1470646800.0 10023.0 NA 125 374 0 NA NA 238 509 0 NA NA 851 1535 445 NA NA 662 1436 458 NA
1470646800.0 10024.0 NA 130 385 0 NA NA 248 489 0 NA NA 945 1770 451 NA NA 1122 1466 462 NA
1470646800.0 10024.1 NA 122 255 0 NA NA 254 347 0 NA NA 585 508 256 NA NA 475 439 263 NA
1470646800.0 10024.2 NA 121 388 0 NA NA 258 535 0 NA NA 971 1834 457 NA NA 770 1944 480 NA
1470646800.0 10024.3 NA 122 227 0 NA NA 252 320 0 NA NA 567 494 239 NA NA 818 432 247 NA
1470646800.0 10024.4 NA 124 384 0 NA NA 242 532 0 NA NA 1135 2126 470 NA NA 854 1742 486 NA
1470646800.0 10024.5 NA 122 226 0 NA NA 250 340 0 NA NA 558 465 237 NA NA 434 401 243 NA
1470646800.0 10025.0 NA 128 383 0 NA NA 235 492 0 NA NA 869 1546 436 NA NA 638 1392 447 NA
1470646800.0 10026.0 NA 127 391 0 NA NA 238 504 0 NA NA 981 2480 459 NA NA 669 1788 468 NA
1470646800.0 1003.0 NA 281 0 NA NA NA 358 0 NA NA NA 3330 283 NA NA NA 1296 292 NA NA
1470646800.0 101.0 100 NA NA NA NA 165 NA NA NA NA 892 NA NA NA NA 942 NA NA NA NA
