Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1470733200.0 1.0 74 75 136 NA NA NA NA NA 152 191 209 NA NA NA NA NA 3842 672 507 NA NA NA NA NA 1863 451 450 NA NA NA NA NA
1470733200.0 10.0 NA 107 380 0 NA NA NA NA NA 211 468 0 NA NA NA NA NA 5403 4489 760 NA NA NA NA NA 1925 1859 772 NA NA NA NA
1470733200.0 1000.0 NA 345 134 0 46 NA NA NA NA 444 195 0 83 NA NA NA NA 4872 936 547 271 NA NA NA NA 2206 686 559 319 NA NA NA
1470733200.0 1001.0 NA 312 200 0 0 0 0 0 NA 408 250 0 0 0 0 0 NA 3492 828 11 40 785 33 925 NA 1698 769 15 41 794 37 937
1470733200.0 1002.0 NA 350 59 NA NA NA NA NA NA 431 106 NA NA NA NA NA NA 3816 316 NA NA NA NA NA NA 1826 239 NA NA NA NA NA
1470733200.0 10021.0 NA 125 380 0 NA NA NA NA NA 247 516 0 NA NA NA NA NA 916 1895 462 NA NA NA NA NA 1082 1577 472 NA NA NA NA
1470733200.0 10023.0 NA 111 377 0 NA NA NA NA NA 249 525 0 NA NA NA NA NA 847 1608 443 NA NA NA NA NA 666 1527 457 NA NA NA NA
1470733200.0 10024.0 NA 128 391 0 NA NA NA NA NA 254 503 0 NA NA NA NA NA 1078 2357 524 NA NA NA NA NA 898 2377 539 NA NA NA NA
1470733200.0 10024.1 NA 123 251 0 NA NA NA NA NA 251 334 0 NA NA NA NA NA 947 926 392 NA NA NA NA NA 726 806 399 NA NA NA NA
1470733200.0 10024.2 NA 121 385 0 NA NA NA NA NA 250 532 0 NA NA NA NA NA 1189 2025 474 NA NA NA NA NA 843 1653 486 NA NA NA NA
1470733200.0 10024.3 NA 123 226 0 NA NA NA NA NA 249 321 0 NA NA NA NA NA 935 800 453 NA NA NA NA NA 687 700 462 NA NA NA NA
1470733200.0 10024.4 NA 122 384 0 NA NA NA NA NA 249 507 0 NA NA NA NA NA 1050 1926 608 NA NA NA NA NA 772 2044 621 NA NA NA NA
1470733200.0 10024.5 NA 123 218 0 NA NA NA NA NA 253 329 0 NA NA NA NA NA 1146 740 409 NA NA NA NA NA 837 641 419 NA NA NA NA
1470733200.0 10025.0 NA 128 386 0 NA NA NA NA NA 238 504 0 NA NA NA NA NA 896 1779 574 NA NA NA NA NA 707 1619 590 NA NA NA NA
1470733200.0 10026.0 NA 124 388 0 NA NA NA NA NA 247 493 0 NA NA NA NA NA 1200 2329 608 NA NA NA NA NA 1398 1676 629 NA NA NA NA
1470733200.0 1003.0 NA 283 0 NA NA NA NA NA NA 364 0 NA NA NA NA NA NA 5938 407 NA NA NA NA NA NA 2236 422 NA NA NA NA NA
1470733200.0 101.0 99 NA NA NA NA NA NA NA 166 NA NA NA NA NA NA NA 614 NA NA NA NA NA NA NA 651 NA NA NA NA NA NA NA
1470733200.0 102.0 101 NA NA NA NA NA NA NA 167 NA NA NA NA NA NA NA 613 NA NA NA NA NA NA NA 632 NA NA NA NA NA NA NA
1470733200.0 10224.0 NA 206 599 0 NA NA NA NA NA 345 794 0 NA NA NA NA NA 5004 8190 584 NA NA NA NA NA 3265 5018 598 NA NA NA NA
1470733200.0 10225.0 NA 207 586 0 NA NA NA NA NA 366 797 0 NA NA NA NA NA 3473 5031 360 NA NA NA NA NA 1920 4139 372 NA NA NA NA
1470733200.0 103.0 34 0 0 NA NA NA NA NA 78 0 0 NA NA NA NA NA 425 149 355 NA NA NA NA NA 449 213 375 NA NA NA NA NA
1470733200.0 105.0 73 92 25 NA NA NA NA NA 154 192 60 NA NA NA NA NA 2615 454 3 NA NA NA NA NA 1272 307 9 NA NA NA NA NA
1470733200.0 106.0 34 0 0 NA NA NA NA NA 78 0 0 NA NA NA NA NA 439 160 345 NA NA NA NA NA 485 187 367 NA NA NA NA NA
1470733200.0 10621.0 86 97 273 0 NA NA NA NA 135 179 334 0 NA NA NA NA 2990 1480 1642 347 NA NA NA NA 2210 1062 1206 366 NA NA NA NA
1470733200.0 10624.0 118 103 279 0 NA NA NA NA 187 176 345 0 NA NA NA NA 12400 1636 1890 485 NA NA NA NA 4974 1202 1457 496 NA NA NA NA
1470733200.0 10625.0 116 100 281 0 NA NA NA NA 194 177 327 0 NA NA NA NA 10003 1691 1318 470 NA NA NA NA 4273 1763 1117 488 NA NA NA NA
1470733200.0 10626.0 120 111 279 0 NA NA NA NA 191 170 338 0 NA NA NA NA 17326 1928 1605 480 NA NA NA NA 7055 1316 1240 489 NA NA NA NA
1470733200.0 107.0 79 99 378 NA NA NA NA NA 180 187 472 NA NA NA NA NA 10240 805 1533 NA NA NA NA NA 3477 516 1274 NA NA NA NA NA
