Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1471813200.0 11224.0 129 582 106 NA 196 639 162 NA 12782 2356 927 NA 4422 1403 879 NA
1471813200.0 1325.2 NA 215 453 0 NA 317 541 0 NA 631 1147 716 NA 773 1045 736
1471813200.0 1337.0 NA 218 465 0 NA 341 553 0 NA 707 1454 725 NA 817 1176 746
1471813200.0 1338.0 NA 217 456 0 NA 318 551 0 NA 617 1257 747 NA 739 1415 766
1471813200.0 1347.0 NA 201 445 0 NA 336 542 0 NA 551 1041 733 NA 718 1279 758
1471813200.0 136.732 NA 195 407 0 NA 264 489 0 NA 2302 6354 545 NA 1654 2694 557
1471813200.0 1360.0 76 191 442 0 206 278 546 0 2159 286 574 578 3792 282 679 592
1471813200.0 1365.0 NA 199 453 0 NA 334 538 0 NA 534 969 706 NA 738 921 728
1471813200.0 1366.0 NA 198 447 0 NA 325 559 0 NA 543 995 747 NA 723 1279 766
1471813200.0 25209.0 NA 312 667 0 NA 425 869 0 NA 2560 3253 630 NA 2061 1853 643
1471813200.0 500205.0 NA 193 466 0 NA 339 555 0 NA 5024 2432 452 NA 3086 1654 469
