Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1471730400.0 1.0 52 71 147 NA NA NA NA NA 99 137 180 NA NA NA NA NA 3156 568 480 NA NA NA NA NA 3422 755 711 NA NA NA NA NA
1471730400.0 10.0 NA 90 233 0 NA NA NA NA NA 160 272 0 NA NA NA NA NA 4552 4237 1053 NA NA NA NA NA 4644 4466 1278 NA NA NA NA
1471730400.0 1000.0 NA 239 149 0 57 NA NA NA NA 293 202 0 82 NA NA NA NA 3966 733 866 167 NA NA NA NA 4262 818 897 264 NA NA NA
1471730400.0 1001.0 NA 208 191 0 0 0 0 0 NA 262 222 0 0 0 0 0 NA 3674 550 8 93 954 26 964 NA 3966 584 10 101 965 152 987
1471730400.0 1002.0 NA 233 69 NA NA NA NA NA NA 284 101 NA NA NA NA NA NA 3906 225 NA NA NA NA NA NA 5396 584 NA NA NA NA NA
1471730400.0 10021.0 NA 111 245 0 NA NA NA NA NA 198 314 0 NA NA NA NA NA 742 1627 841 NA NA NA NA NA 881 1816 983 NA NA NA NA
1471730400.0 10023.0 NA 115 246 0 NA NA NA NA NA 198 314 0 NA NA NA NA NA 687 1154 686 NA NA NA NA NA 888 1530 1012 NA NA NA NA
1471730400.0 10024.0 NA 111 249 0 NA NA NA NA NA 198 315 0 NA NA NA NA NA 785 1497 769 NA NA NA NA NA 1162 2381 1061 NA NA NA NA
1471730400.0 10024.2 NA 111 249 0 NA NA NA NA NA 198 314 0 NA NA NA NA NA 801 1491 820 NA NA NA NA NA 969 1933 966 NA NA NA NA
1471730400.0 10024.3 NA 124 160 0 NA NA NA NA NA 198 202 0 NA NA NA NA NA 792 768 576 NA NA NA NA NA 1197 1186 750 NA NA NA NA
1471730400.0 10024.4 NA 114 246 0 NA NA NA NA NA 198 313 0 NA NA NA NA NA 795 1480 811 NA NA NA NA NA 920 1760 955 NA NA NA NA
1471730400.0 10024.5 NA 121 151 0 NA NA NA NA NA 199 202 0 NA NA NA NA NA 809 727 600 NA NA NA NA NA 1110 1408 818 NA NA NA NA
1471730400.0 10025.0 NA 125 248 0 NA NA NA NA NA 199 314 0 NA NA NA NA NA 760 1249 816 NA NA NA NA NA 907 1441 849 NA NA NA NA
1471730400.0 10026.0 NA 122 248 0 NA NA NA NA NA 198 314 0 NA NA NA NA NA 805 1915 780 NA NA NA NA NA 968 2346 855 NA NA NA NA
