Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1471730400.0 10.0 NA 66 171 0 NA NA 140 229 0 NA NA 2269 2735 814 NA NA 2301 2783 828 NA
1471730400.0 107.0 52 72 170 NA NA 97 143 227 NA NA 4561 455 736 NA NA 4822 482 787 NA NA
1471730400.0 109.0 56 81 175 NA NA 100 143 228 NA NA 7232 499 1003 NA NA 7355 526 1042 NA NA
1471730400.0 112.0 52 74 170 NA NA 98 143 227 NA NA 3652 444 736 NA NA 3918 582 773 NA NA
1471730400.0 113.0 52 74 170 NA NA 98 144 227 NA NA 4258 455 761 NA NA 4511 507 822 NA NA
1471730400.0 114.0 53 74 167 NA NA 98 143 227 NA NA 3537 470 743 NA NA 3729 498 776 NA NA
1471730400.0 116.0 53 82 169 NA NA 99 143 227 NA NA 3171 347 554 NA NA 3226 404 754 NA NA
1471730400.0 117.0 54 76 171 NA NA 100 143 227 NA NA 4771 347 600 NA NA 4910 400 738 NA NA
1471730400.0 118.0 54 75 168 NA NA 99 143 227 NA NA 3573 346 579 NA NA 3708 361 639 NA NA
1471730400.0 119.0 51 73 174 NA NA 97 143 227 NA NA 3733 471 708 NA NA 4073 592 885 NA NA
1471730400.0 121.0 54 84 171 NA NA 99 143 227 NA NA 4334 350 606 NA NA 4428 438 830 NA NA
1471730400.0 125.0 53 73 171 NA NA 99 144 227 NA NA 3277 347 499 NA NA 3350 364 527 NA NA
1471730400.0 1301.0 57 110 146 NA NA 103 171 206 NA NA 1838 651 709 NA NA 2476 762 1184 NA NA
1471730400.0 1302.0 63 128 141 NA NA 108 171 209 NA NA 7888 849 1056 NA NA 9233 1047 1174 NA NA
1471730400.0 1303.0 64 123 152 NA NA 110 171 214 NA NA 12832 910 1709 NA NA 14111 1061 2023 NA NA
1471730400.0 132.0 50 81 173 NA NA 95 143 227 NA NA 3229 447 735 NA NA 3346 478 759 NA NA
1471730400.0 133.0 56 84 171 NA NA 100 143 229 NA NA 8617 519 974 NA NA 8828 534 1013 NA NA
1471730400.0 134.0 NA 180 32 0 NA NA 249 66 0 NA NA 3169 14 13 NA NA 3290 25 24 NA
1471730400.0 134.703 NA 102 211 0 NA NA 163 271 0 NA NA 1904 7380 891 NA NA 2836 8154 913 NA
1471730400.0 134.704 NA 103 200 0 NA NA 163 264 0 NA NA 2881 11709 1229 NA NA 3444 13971 1262 NA
1471730400.0 134.705 NA 101 209 0 NA NA 165 271 0 NA NA 1436 5725 648 NA NA 2039 5892 668 NA
1471730400.0 134.706 NA 101 210 0 NA NA 162 269 0 NA NA 2459 8374 997 NA NA 2575 8553 1017 NA
1471730400.0 134.707 NA 106 198 0 NA NA 164 261 0 NA NA 3226 11793 1242 NA NA 3770 13801 1277 NA
1471730400.0 134.708 NA 110 201 0 NA NA 166 264 0 NA NA 1372 4948 632 NA NA 1668 5438 658 NA
1471730400.0 134.709 NA 106 214 0 NA NA 161 288 0 NA NA 1319 5703 619 NA NA 1446 5810 628 NA
1471730400.0 134.804 NA 110 212 0 NA NA 168 277 0 NA NA 2791 9953 951 NA NA 3510 10564 1017 NA
1471730400.0 134.806 NA 109 216 0 NA NA 169 276 0 NA NA 3340 10890 885 NA NA 3510 11371 911 NA
1471730400.0 134.807 NA 132 231 0 NA NA 207 286 0 NA NA 2616 6812 603 NA NA 2768 6866 612 NA
1471730400.0 134.809 NA 120 204 0 NA NA 169 266 0 NA NA 1957 6580 633 NA NA 2003 7651 728 NA
1471730400.0 134.901 NA 110 199 0 NA NA 166 263 0 NA NA 2772 9234 1215 NA NA 3325 11632 1263 NA
1471730400.0 134.904 NA 110 202 0 NA NA 172 268 0 NA NA 1854 5833 620 NA NA 2356 6191 666 NA
